Deck no: 1 Colors: ['B', 'G', 'R', 'U', 'W'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 29 Colors: ['B', 'G', 'R', 'W', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 34 Colors: ['B', 'W', 'R', 'U', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 176 Colors: ['B', 'G', 'R', 'U', 'W'] Fitness: 3 No. Evasions: 0 No. Creatures: 28 No. Spells: 48 No. Bombs 6 No. Lands: 8
Deck no: 177 Colors: ['R', 'B', 'U', 'W', 'G'] Fitness: 6 No. Evasions: 3 No. Creatures: 44 No. Spells: 42 No. Bombs 0 No. Lands: 4
Deck no: 178 Colors: ['R', 'G', 'U', 'W', 'B'] Fitness: 6 No. Evasions: 11 No. Creatures: 30 No. Spells: 46 No. Bombs 7 No. Lands: 7
Deck no: 179 Colors: ['G', 'W', 'B', 'R', 'U'] Fitness: 4 No. Evasions: 0 No. Creatures: 38 No. Spells: 40 No. Bombs 0 No. Lands: 12
Deck no: 180 Colors: ['W', 'B', 'R', 'U', 'G'] Fitness: 4 No. Evasions: 5 No. Creatures: 51 No. Spells: 28 No. Bombs 6 No. Lands: 0
Deck no: 181 Colors: ['U', 'W', 'G', 'R', 'B'] Fitness: 5 No. Evasions: 3 No. Creatures: 28 No. Spells: 51 No. Bombs 0 No. Lands: 11
Deck no: 182 Colors: ['R', 'B', 'W', 'U'] Fitness: 5 No. Evasions: 18 No. Creatures: 56 No. Spells: 29 No. Bombs 0 No. Lands: 0
Deck no: 183 Colors: ['B', 'G', 'U', 'W', 'R'] Fitness: 5 No. Evasions: 5 No. Creatures: 37 No. Spells: 48 No. Bombs 0 No. Lands: 0
Deck no: 184 Colors: ['R', 'U', 'W', 'B', 'G'] Fitness: 5 No. Evasions: 4 No. Creatures: 30 No. Spells: 40 No. Bombs 9 No. Lands: 11
Deck no: 185 Colors: ['R', 'G', 'B', 'W', 'U'] Fitness: 7 No. Evasions: 13 No. Creatures: 43 No. Spells: 43 No. Bombs 4 No. Lands: 0
Deck no: 186 Colors: ['U', 'W', 'B', 'R', 'G'] Fitness: 7 No. Evasions: 16 No. Creatures: 37 No. Spells: 43 No. Bombs 5 No. Lands: 0
Deck no: 187 Colors: ['B', 'G', 'R', 'U', 'W'] Fitness: 3 No. Evasions: 0 No. Creatures: 26 No. Spells: 44 No. Bombs 6 No. Lands: 14
Deck no: 188 Colors: ['W', 'G', 'B', 'R', 'U'] Fitness: 5 No. Evasions: 17 No. Creatures: 51 No. Spells: 23 No. Bombs 11 No. Lands: 0
Deck no: 189 Colors: ['R', 'W', 'B', 'G', 'U'] Fitness: 4 No. Evasions: 2 No. Creatures: 51 No. Spells: 35 No. Bombs 0 No. Lands: 4
Deck no: 190 Colors: ['B', 'W', 'G', 'U', 'R'] Fitness: 6 No. Evasions: 16 No. Creatures: 29 No. Spells: 57 No. Bombs 0 No. Lands: 4
Deck no: 191 Colors: ['U', 'B', 'G', 'R', 'W'] Fitness: 5 No. Evasions: 9 No. Creatures: 54 No. Spells: 22 No. Bombs 4 No. Lands: 10
Deck no: 192 Colors: ['U', 'B', 'R', 'G', 'W'] Fitness: 4 No. Evasions: 5 No. Creatures: 24 No. Spells: 54 No. Bombs 6 No. Lands: 6
Deck no: 193 Colors: ['R', 'W', 'B', 'G', 'U'] Fitness: 6 No. Evasions: 15 No. Creatures: 33 No. Spells: 47 No. Bombs 0 No. Lands: 10
Deck no: 194 Colors: ['U', 'B', 'R', 'G', 'W'] Fitness: 7 No. Evasions: 28 No. Creatures: 38 No. Spells: 36 No. Bombs 0 No. Lands: 2
Deck no: 195 Colors: ['B', 'U', 'R', 'W', 'G'] Fitness: 5 No. Evasions: 8 No. Creatures: 45 No. Spells: 18 No. Bombs 10 No. Lands: 17
Deck no: 196 Colors: ['W', 'R', 'B', 'G', 'U'] Fitness: 5 No. Evasions: 13 No. Creatures: 37 No. Spells: 17 No. Bombs 0 No. Lands: 30
Deck no: 197 Colors: ['R', 'W', 'G', 'U', 'B'] Fitness: 6 No. Evasions: 9 No. Creatures: 31 No. Spells: 46 No. Bombs 10 No. Lands: 0
Deck no: 198 Colors: ['R', 'G', 'W', 'B', 'U'] Fitness: 2 No. Evasions: 0 No. Creatures: 65 No. Spells: 21 No. Bombs 0 No. Lands: 4
Deck no: 199 Colors: ['B', 'W', 'R', 'U', 'G'] Fitness: 7 No. Evasions: 10 No. Creatures: 36 No. Spells: 38 No. Bombs 0 No. Lands: 16
Deck no: 200 Colors: ['U', 'W', 'B', 'G', 'R'] Fitness: 4 No. Evasions: 5 No. Creatures: 55 No. Spells: 26 No. Bombs 9 No. Lands: 0
Deck no: 22 Colors: ['G', 'U', 'W', 'R', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 1 Colors: ['B', 'G', 'R', 'U', 'W'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 19 Colors: ['U', 'W', 'B', 'G', 'R'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 9 Colors: ['U', 'R', 'B', 'G', 'W'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 3 Colors: ['W', 'G', 'B', 'R', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 38 No. Spells: 37 No. Bombs 4 No. Lands: 8
Deck no: 11 Colors: ['B', 'R', 'G', 'U', 'W'] Fitness: 7 No. Evasions: 9 No. Creatures: 38 No. Spells: 36 No. Bombs 4 No. Lands: 9
Deck no: 25 Colors: ['R', 'B', 'U', 'W', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 24 Colors: ['G', 'W', 'R', 'B', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 38 No. Spells: 36 No. Bombs 4 No. Lands: 9
Deck no: 6 Colors: ['R', 'U', 'G', 'B', 'W'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 17 Colors: ['W', 'R', 'U', 'B', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 13 Colors: ['B', 'G', 'W', 'U', 'R'] Fitness: 7 No. Evasions: 8 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 7 Colors: ['W', 'R', 'B', 'U', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 36 No. Spells: 37 No. Bombs 4 No. Lands: 10
Deck no: 16 Colors: ['G', 'B', 'U', 'R', 'W'] Fitness: 7 No. Evasions: 8 No. Creatures: 38 No. Spells: 36 No. Bombs 4 No. Lands: 9
Deck no: 12 Colors: ['G', 'W', 'R', 'U', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 20 Colors: ['R', 'U', 'B', 'G', 'W'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 21 Colors: ['W', 'R', 'G', 'B', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 36 No. Spells: 38 No. Bombs 4 No. Lands: 9
Deck no: 2 Colors: ['W', 'G', 'U', 'R', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 4 Colors: ['R', 'B', 'W', 'G', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 18 Colors: ['W', 'U', 'R', 'B', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 10 Colors: ['B', 'U', 'G', 'W', 'R'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 5 Colors: ['R', 'U', 'W', 'B', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 23 Colors: ['B', 'W', 'G', 'R', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 8 Colors: ['U', 'R', 'G', 'W', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 14 Colors: ['B', 'G', 'W', 'U', 'R'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 15 Colors: ['B', 'G', 'R', 'W', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 29 Colors: ['B', 'G', 'R', 'W', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 38 No. Spells: 36 No. Bombs 4 No. Lands: 9
Deck no: 37 Colors: ['U', 'R', 'W', 'G', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 34 Colors: ['B', 'W', 'R', 'U', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 36 Colors: ['R', 'W', 'G', 'B', 'U'] Fitness: 7 No. Evasions: 10 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 28 Colors: ['U', 'W', 'G', 'R', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 35 Colors: ['R', 'W', 'G', 'B', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 42 Colors: ['W', 'G', 'R', 'B', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 27 Colors: ['W', 'B', 'R', 'U', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 36 No. Bombs 4 No. Lands: 10
Deck no: 41 Colors: ['U', 'R', 'W', 'G', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 39 No. Spells: 35 No. Bombs 4 No. Lands: 9
Deck no: 49 Colors: ['W', 'B', 'U', 'G', 'R'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 50 Colors: ['G', 'R', 'W', 'U', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 45 Colors: ['W', 'G', 'B', 'U', 'R'] Fitness: 7 No. Evasions: 8 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 31 Colors: ['B', 'G', 'W', 'U', 'R'] Fitness: 7 No. Evasions: 9 No. Creatures: 38 No. Spells: 36 No. Bombs 4 No. Lands: 9
Deck no: 32 Colors: ['R', 'W', 'U', 'B', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 47 Colors: ['R', 'G', 'B', 'W', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 43 Colors: ['U', 'W', 'B', 'G', 'R'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 39 Colors: ['G', 'U', 'R', 'W', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 36 No. Spells: 37 No. Bombs 4 No. Lands: 10
Deck no: 44 Colors: ['G', 'B', 'W', 'R', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 36 No. Spells: 37 No. Bombs 5 No. Lands: 9
Deck no: 38 Colors: ['W', 'R', 'U', 'G', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 26 Colors: ['G', 'U', 'W', 'R', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 30 Colors: ['B', 'G', 'U', 'W', 'R'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 48 Colors: ['W', 'B', 'U', 'R', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 46 Colors: ['R', 'B', 'W', 'U', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 36 No. Spells: 38 No. Bombs 4 No. Lands: 9
Deck no: 33 Colors: ['U', 'W', 'R', 'G', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 40 Colors: ['U', 'B', 'G', 'W', 'R'] Fitness: 7 No. Evasions: 8 No. Creatures: 36 No. Spells: 38 No. Bombs 4 No. Lands: 9
Deck no: 201 Colors: ['U', 'R', 'W', 'G', 'B'] Fitness: 7 No. Evasions: 7 No. Creatures: 39 No. Spells: 47 No. Bombs 0 No. Lands: 4
Deck no: 202 Colors: ['G', 'R', 'U', 'B', 'W'] Fitness: 6 No. Evasions: 7 No. Creatures: 29 No. Spells: 57 No. Bombs 0 No. Lands: 0
Deck no: 203 Colors: ['G', 'R', 'B', 'W', 'U'] Fitness: 6 No. Evasions: 5 No. Creatures: 40 No. Spells: 34 No. Bombs 5 No. Lands: 11
Deck no: 204 Colors: ['G', 'R', 'U', 'B', 'W'] Fitness: 4 No. Evasions: 4 No. Creatures: 55 No. Spells: 15 No. Bombs 0 No. Lands: 20
Deck no: 205 Colors: ['W', 'R', 'G', 'B', 'U'] Fitness: 5 No. Evasions: 13 No. Creatures: 24 No. Spells: 63 No. Bombs 3 No. Lands: 0
Deck no: 206 Colors: ['R', 'W', 'G', 'B', 'U'] Fitness: 5 No. Evasions: 9 No. Creatures: 23 No. Spells: 56 No. Bombs 7 No. Lands: 4
Deck no: 207 Colors: ['U', 'W', 'G', 'B', 'R'] Fitness: 6 No. Evasions: 9 No. Creatures: 38 No. Spells: 30 No. Bombs 9 No. Lands: 13
Deck no: 208 Colors: ['R', 'W', 'U', 'B', 'G'] Fitness: 3 No. Evasions: 0 No. Creatures: 40 No. Spells: 32 No. Bombs 0 No. Lands: 18
Deck no: 209 Colors: ['R', 'W', 'U', 'B', 'G'] Fitness: 6 No. Evasions: 5 No. Creatures: 45 No. Spells: 38 No. Bombs 0 No. Lands: 7
Deck no: 210 Colors: ['R', 'G', 'W', 'U', 'B'] Fitness: 2 No. Evasions: 0 No. Creatures: 55 No. Spells: 32 No. Bombs 3 No. Lands: 0
Deck no: 211 Colors: ['B', 'U', 'G', 'R', 'W'] Fitness: 4 No. Evasions: 4 No. Creatures: 50 No. Spells: 28 No. Bombs 6 No. Lands: 4
Deck no: 212 Colors: ['R', 'W', 'B', 'G', 'U'] Fitness: 5 No. Evasions: 28 No. Creatures: 47 No. Spells: 28 No. Bombs 0 No. Lands: 5
Deck no: 213 Colors: ['B', 'U', 'W', 'G', 'R'] Fitness: 4 No. Evasions: 0 No. Creatures: 36 No. Spells: 30 No. Bombs 5 No. Lands: 19
Deck no: 214 Colors: ['U', 'B', 'W', 'R', 'G'] Fitness: 5 No. Evasions: 21 No. Creatures: 52 No. Spells: 29 No. Bombs 0 No. Lands: 5
Deck no: 215 Colors: ['R', 'B', 'G', 'U', 'W'] Fitness: 6 No. Evasions: 8 No. Creatures: 33 No. Spells: 43 No. Bombs 0 No. Lands: 8
Deck no: 216 Colors: ['B', 'G', 'U', 'W', 'R'] Fitness: 5 No. Evasions: 10 No. Creatures: 63 No. Spells: 24 No. Bombs 0 No. Lands: 3
Deck no: 217 Colors: ['U', 'R', 'G', 'W'] Fitness: 6 No. Evasions: 6 No. Creatures: 30 No. Spells: 46 No. Bombs 7 No. Lands: 7
Deck no: 218 Colors: ['B', 'G', 'R', 'W', 'U'] Fitness: 4 No. Evasions: 4 No. Creatures: 54 No. Spells: 26 No. Bombs 6 No. Lands: 4
Deck no: 219 Colors: ['W', 'G', 'R', 'U', 'B'] Fitness: 6 No. Evasions: 23 No. Creatures: 39 No. Spells: 28 No. Bombs 7 No. Lands: 10
Deck no: 220 Colors: ['B', 'W', 'U', 'G', 'R'] Fitness: 6 No. Evasions: 4 No. Creatures: 30 No. Spells: 32 No. Bombs 17 No. Lands: 7
Deck no: 221 Colors: ['R', 'U', 'W', 'B', 'G'] Fitness: 5 No. Evasions: 7 No. Creatures: 54 No. Spells: 29 No. Bombs 7 No. Lands: 0
Deck no: 222 Colors: ['B', 'W', 'G', 'R', 'U'] Fitness: 6 No. Evasions: 17 No. Creatures: 42 No. Spells: 32 No. Bombs 5 No. Lands: 11
Deck no: 223 Colors: ['R', 'U', 'B', 'G', 'W'] Fitness: 6 No. Evasions: 6 No. Creatures: 32 No. Spells: 42 No. Bombs 0 No. Lands: 10
Deck no: 224 Colors: ['B', 'G', 'W', 'U', 'R'] Fitness: 5 No. Evasions: 3 No. Creatures: 26 No. Spells: 49 No. Bombs 0 No. Lands: 12
Deck no: 225 Colors: ['W', 'U', 'B', 'R', 'G'] Fitness: 2 No. Evasions: 0 No. Creatures: 23 No. Spells: 63 No. Bombs 4 No. Lands: 0
Deck no: 6 Colors: ['R', 'U', 'G', 'B', 'W'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 24 Colors: ['G', 'W', 'R', 'B', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 38 No. Spells: 36 No. Bombs 4 No. Lands: 9
Deck no: 11 Colors: ['B', 'R', 'G', 'U', 'W'] Fitness: 7 No. Evasions: 9 No. Creatures: 38 No. Spells: 36 No. Bombs 4 No. Lands: 9
Deck no: 10 Colors: ['B', 'U', 'G', 'W', 'R'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 4 Colors: ['R', 'B', 'W', 'G', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 22 Colors: ['G', 'U', 'W', 'R', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 5 Colors: ['R', 'U', 'W', 'B', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 20 Colors: ['R', 'U', 'B', 'G', 'W'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 16 Colors: ['G', 'B', 'U', 'R', 'W'] Fitness: 7 No. Evasions: 8 No. Creatures: 38 No. Spells: 36 No. Bombs 4 No. Lands: 9
Deck no: 12 Colors: ['G', 'W', 'R', 'U', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 14 Colors: ['B', 'G', 'W', 'U', 'R'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 1 Colors: ['B', 'G', 'R', 'U', 'W'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 17 Colors: ['W', 'R', 'U', 'B', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 7 Colors: ['W', 'R', 'B', 'U', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 36 No. Spells: 37 No. Bombs 4 No. Lands: 10
Deck no: 3 Colors: ['W', 'G', 'B', 'R', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 38 No. Spells: 37 No. Bombs 4 No. Lands: 8
Deck no: 9 Colors: ['U', 'R', 'B', 'G', 'W'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 15 Colors: ['B', 'G', 'R', 'W', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 2 Colors: ['W', 'G', 'U', 'R', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 18 Colors: ['W', 'U', 'R', 'B', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 25 Colors: ['R', 'B', 'U', 'W', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 38 No. Spells: 36 No. Bombs 4 No. Lands: 9
Deck no: 23 Colors: ['B', 'W', 'G', 'R', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 8 Colors: ['U', 'R', 'G', 'W', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 13 Colors: ['B', 'G', 'W', 'U', 'R'] Fitness: 7 No. Evasions: 8 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 21 Colors: ['W', 'R', 'G', 'B', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 36 No. Spells: 38 No. Bombs 4 No. Lands: 9
Deck no: 19 Colors: ['U', 'W', 'B', 'G', 'R'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 45 Colors: ['W', 'G', 'B', 'U', 'R'] Fitness: 7 No. Evasions: 8 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 40 Colors: ['U', 'B', 'G', 'W', 'R'] Fitness: 7 No. Evasions: 8 No. Creatures: 36 No. Spells: 38 No. Bombs 4 No. Lands: 9
Deck no: 50 Colors: ['G', 'R', 'W', 'U', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 29 Colors: ['B', 'G', 'R', 'W', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 38 No. Spells: 36 No. Bombs 4 No. Lands: 9
Deck no: 37 Colors: ['U', 'R', 'W', 'G', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 42 Colors: ['W', 'G', 'R', 'B', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 38 No. Bombs 4 No. Lands: 8
Deck no: 47 Colors: ['R', 'G', 'B', 'W', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 28 Colors: ['U', 'W', 'G', 'R', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 43 Colors: ['U', 'W', 'B', 'G', 'R'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 35 Colors: ['R', 'W', 'G', 'B', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 34 Colors: ['B', 'W', 'R', 'U', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 41 Colors: ['U', 'R', 'W', 'G', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 39 No. Spells: 35 No. Bombs 4 No. Lands: 9
Deck no: 38 Colors: ['W', 'R', 'U', 'G', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 48 Colors: ['W', 'B', 'U', 'R', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 31 Colors: ['B', 'G', 'W', 'U', 'R'] Fitness: 7 No. Evasions: 9 No. Creatures: 39 No. Spells: 35 No. Bombs 4 No. Lands: 9
Deck no: 30 Colors: ['B', 'G', 'U', 'W', 'R'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 33 Colors: ['U', 'W', 'R', 'G', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 32 Colors: ['R', 'W', 'U', 'B', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 26 Colors: ['G', 'U', 'W', 'R', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 49 Colors: ['W', 'B', 'U', 'G', 'R'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 27 Colors: ['W', 'B', 'R', 'U', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 36 No. Bombs 4 No. Lands: 10
Deck no: 36 Colors: ['R', 'W', 'G', 'B', 'U'] Fitness: 7 No. Evasions: 10 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 44 Colors: ['G', 'B', 'W', 'R', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 36 No. Spells: 37 No. Bombs 5 No. Lands: 9
Deck no: 46 Colors: ['R', 'B', 'W', 'U', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 36 No. Spells: 38 No. Bombs 4 No. Lands: 9
Deck no: 39 Colors: ['G', 'U', 'R', 'W', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 36 No. Spells: 37 No. Bombs 4 No. Lands: 10
Deck no: 226 Colors: ['U', 'R', 'B', 'G', 'W'] Fitness: 6 No. Evasions: 19 No. Creatures: 42 No. Spells: 32 No. Bombs 0 No. Lands: 5
Deck no: 227 Colors: ['B', 'G', 'U', 'W', 'R'] Fitness: 4 No. Evasions: 0 No. Creatures: 42 No. Spells: 39 No. Bombs 0 No. Lands: 9
Deck no: 228 Colors: ['B', 'G', 'R', 'W', 'U'] Fitness: 7 No. Evasions: 8 No. Creatures: 48 No. Spells: 40 No. Bombs 0 No. Lands: 2
Deck no: 229 Colors: ['B', 'R', 'U', 'W', 'G'] Fitness: 5 No. Evasions: 3 No. Creatures: 48 No. Spells: 32 No. Bombs 5 No. Lands: 2
Deck no: 230 Colors: ['R', 'U', 'B', 'W', 'G'] Fitness: 7 No. Evasions: 12 No. Creatures: 38 No. Spells: 45 No. Bombs 7 No. Lands: 0
Deck no: 231 Colors: ['G', 'R', 'W', 'U', 'B'] Fitness: 6 No. Evasions: 13 No. Creatures: 38 No. Spells: 52 No. Bombs 0 No. Lands: 0
